,CURRÍCULO,CITAÇÕES,AUTORES,TÍTULO,REVISTA,LOCAL,VOLUME,PÁGINAS,ANO_PUB,DOI
813,Edelberto Santos Dias,   5,"['TONINI, M. A. L.', 'LEMOS, E. M.', 'REIS, A. B.', 'VITAL, W. C.', 'Dias, Edelberto Santos', 'DIETZE, R.']","First description of autochthonous canine visceral leishmaniasis in the metropolitan region of Vitória, State of Espírito Santo, Brazil",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,45,754-756,2012,
814,Edelberto Santos Dias,  16,"['Dias, Edelberto Santos', 'SILVA, S. R.', 'FRANÇA-SILVA, J. C.', 'PAZ, G. F.', 'MICHALSKY, E. M.', 'ARAÚJO, S. C.', 'Valadão, Josiane Lopes', 'LARA-SILVA, F. O.', 'OLIVEIRA, F. S.', 'PACHECO, R. S.']","Eco-epidemiology of visceral leishmaniasis in the urban area of Paracatu, state of Minas Gerais, Brazil",Veterinary Parasitology (Print),,176,101-111,2011,
815,Edelberto Santos Dias,  11,"['BARATA, R. A.', 'PAZ, G. F.', 'BASTOS, M. C.', 'ANDRADE, R. C. O.', 'LARA-SILVA, F. O.', 'MICHALSKY, E. M.', 'PINHEIRO, A. C.', 'DIAS, E.S.']","Phlebotomine sandflies (Diptera:Psychodidae) in Governador valadares, a transmission area for American tegumentary leishmaniasis in State of Minas Gerais, Brazil",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,44,136-139,2011,
816,Edelberto Santos Dias,  20,"['BARATA, R. A.', 'FRANÇA-SILVA, J. C.', 'SILVA, J. C.', 'ALMEIDA, S. N.', 'TEIXEIRA, L. A. S.', 'DIAS, E.S.']","Controle da leishmaniose visceral no município de Porteirinha, estado de Minas Gerais, no período de 1998 a 2003",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,44,386-388,2011,
817,Edelberto Santos Dias,   9,"['BARATA, R. A.', 'MICHALSKY, E. M.', 'FUJIWARA, R.T.', 'FRANÇA-SILVA, J. C.', 'ROCHA, M. F.', 'DIAS, E.S.']","Assessment of sand fly (Diptera, psychodidae) control using cypermethrin in an endemic area for visceral leishmaniasis, Montes Claros, Minas Gerais state, Brazil",Cadernos de Saúde Pública (ENSP Impresso),,27,2117-2123,2011,
818,Edelberto Santos Dias,  19,"['PADRO, P. F.', 'ROCHA, M. F.', 'PAZ, G. F.', 'DIAS, E.S.']","Epidemiological aspects of human and canine visceral leishmaniasis in Montes Claros, State of Minas Gerais, Brazil, between 2007 and 2009",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,44,561-566,2011,
819,Edelberto Santos Dias,  47,"['DIAS, E.S.', 'MISSAWA, N. A.', 'VELOSO, M. A. E.', 'MICHALSKY, E. M.']","EvidÃªncia de transmissÃ£o de leishmaniose visceral por Lutzomyia cruzi no municÃ­pio de Jaciara, Estado de Mato Grosso, Brasil",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,44,76-78,2011,
820,Edelberto Santos Dias,  22,"['MICHALSKY, E. M.', 'GUEDES, K. S.', 'LARA-SILVA, F. O.', 'FRANÇA-SILVA, J. C.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.', 'BARATA, R. A.']","Natural Infection with Leishmania infantum chagasi in Lutzomyia (Lutzomyia) longipalpis (Diptera: Psychodidae) sandflies captured in the municipality of Janauba, state of Minas Gerais, Brazil",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,44,58-62,2011,
821,Edelberto Santos Dias,  13,"['PAZ, G. F.', 'RIBEIRO, M. F. B.', 'MICHALSKY, E. M.', 'LIMA, A. C. V. M. R.', 'FRANÇA-SILVA, J. C.', 'BARATA, R. A.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']",Evaluation of the vectorial capacity of Rhipicephalus sanguineus (Acari: Ixodidae) in the transmission of canine visceral leishmaniasis,Parasitology Research,,106,523-528,2010,
822,Edelberto Santos Dias,  10,"['MICHALSKY, E. M.', 'FORTES-DIAS, C. L.', 'FRANÇA-SILVA, J. C.', 'ROCHA, M. F.', 'BARATA, R. A.', 'DIAS, E.S.']","Association of Lutzomyia longipalpis (Diptera:Psychodidade) population density with climate variables in Montes Claros, an area of American visceral leishmaniasis transmission in the state of Minas Gerais, Brazil",Memórias do Instituto Oswaldo Cruz (Impresso),,104,1191-1193,2010,
823,Edelberto Santos Dias,  26,"['PAZ, G. F.', 'RIBEIRO, M. F. B.', 'MAGALHÃES, D. F.', 'Sathler, K.P.B.', 'MORAIS, M. H. F.', 'FIÚZA, V. O.', 'BRANDÃO, S. T.', 'WERNECK, G. L.', 'FORTES-DIAS, C. L.', 'Dias, Edelberto S.']",Association between the prevalence of infestation by Rhipicephalus sanguineus and Ctenocephalides felis felis and the presence of anti-Leishmania antibodies: A case¿control study in dogs from a Brazilian endemic area,Preventive Veterinary Medicine (Print),,97,131-133,2010,
824,Edelberto Santos Dias,  13,"['MISSAWA, N. A.', 'MICHALSKY, E. M.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']","Lutzomyia longipalpis naturally infected by leishmania (L.) chagasi in Várzea Grande, mato Grosso State, Brazil, an area of intense transmission of visceral leishmanisis.",Cadernos de Saúde Pública (ENSP Impresso),,26,2414-2419,2010,
825,Edelberto Santos Dias,  20,"['MICHALSKY, E. M.', 'FRANÇA-SILVA, J. C.', 'FORTES-DIAS, C. L.', 'BARATA, R. A.', 'LOUREIRO, A. M.', 'DIAS, E.S.']","Phlebotominae distribution in Janaúba, an area of transmission for visceral leishmaniasis in Brazil",Memórias do Instituto Oswaldo Cruz (Impresso),,104,56-61,2009,
826,Edelberto Santos Dias,  29,"['DIAS, E.S.', 'BARATA, R. A.', 'ANTONINI, Y.', 'MACEDO, C. G.', 'COSTA, D. C.']","Flebotomíneos do Parque Nacional Cavernas do Peruaçu, Minas Gerais, Brazil",Neotropical Entomology (Impresso),,37,226-228,2008,
827,Edelberto Santos Dias,  16,"['MIRET, J.', 'NASCIMENTO, E.', 'SAMPAIO, W.', 'FRANÇA-SILVA, J. C.', 'FUJIWARA, R.T.', 'VALE, A. M.', 'DIAS, E.S.', 'PAULA, E. V.', 'COSTA, R. T.', 'MAYRINK, W.', 'CAMPOS NETO, A.', 'REED, S.']",Evaluation of an immunochemotherapeutic protocol constituted of N-methyl meglumine antimoniate (Glucantime) and the recombinant Leish-110f + MPL-SE vaccine to treat canine visceral lerishmaniasis,Vaccine (Guildford),,26,1585-1594,2008,
828,Edelberto Santos Dias,   1,"['SILVA, E. A. E.', 'ANDREOTTI, R.', 'DIAS, E.S.', 'BARROS, J. C.', 'BRAZUNA, J. C. M.']","Detection of Leishmania DNA in phlebotomines captured in Campo Grande, Mato Grosso do Sul, Brazil",Experimental Parasitology,,119,343-348,2008,
829,Edelberto Santos Dias,   8,"['MISSAWA, N. A.', 'LOROSA, E. S.', 'DIAS, E.S.']","Preferência alimentar de Lutzomyia longipalpis (Lutz & Neiva, 1912) nem área de transmissão de leishmaniose visceral no município de Várzea Grande, Estado de Mato Grosso",Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,41,1-4,2008,
830,Edelberto Santos Dias,  35,"['ANDRADE, A. J.', 'ANDRADE, M. R.', 'DIAS, E.S.', 'PINTO, M. C.', 'EIRAS, A. E.']",Are light traps baited with kairomones effective in the capture of Lutzomyia longipalpis and Lutzomyia intermedia? An evaluation of synthetic human odor as an attractant for phlebotomine sand flies (Diptera: Psychodidae: Phlebotominae),Memórias do Instituto Oswaldo Cruz,,103,337,2008,
831,Edelberto Santos Dias,  11,"['DIAS, E.S.', 'FRANÇA-SILVA, J. C.', 'SILVA, J. C.', 'MICHALSKY, E. M.', 'PAULA, K. M. DE', 'GONÇALVES, C.M.', 'BARATA, R. A.']",Flebotomíneos (Diptera:Psychodidade) de um foco de leishmaniose tegumentar no Estado de Minas Gerais,Revista da Sociedade Brasileira de Medicina Tropical (Impresso),,40,49-52,2007,
832,Edelberto Santos Dias,   5,"['MICHALSKY, E. M.', 'ROCHA, M. F.', 'LIMA, A. C. V. M. R.', 'FRANÇA-SILVA, J. C.', 'PIRES, M. Q.', 'COSTA, F. S. O.', 'OLIVEIRA, F. S.', 'PACHECO, R. S.', 'Santos, S. L.', 'BARATA, R. A.', 'ROMANHA, A.J.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']","Infectivity of seropositive dogs, showing different clinical forms of leishmaniasis, to Lutzomyia longipalpis phlebotomine sand flies",Veterinary Parasitology (Print),,147,67-76,2007,
833,Edelberto Santos Dias,  18,"['MISSAWA, N. A.', 'DIAS, E.S.']","Phlebotomine sand flies (Diptera: Psychodidae) in the municipality of Várzea Grande: an area of transmission of visceral leishmaniasis in the state of mato Grosso, Brazil",Memórias do Instituto Oswaldo Cruz (Impresso),,102,913-918,2007,
834,Edelberto Santos Dias,  19,"['ANDRADE, A. J.', 'ANDRADE, M. R.', 'BARATA, R. A.', 'DIAS, E.S.', 'EIRAS, A. E.']","Quatro Novos Registros da Fauna Flebotomínica do Genêro Lutzomyia França (Diptera: Psychodidae, Phlebotominae) do Distrito Rural de Brejo do Mutambal, Varzelândia, MG",Neotropical Entomology (Impresso),,36,980-983,2007,
835,Edelberto Santos Dias,  22,"['MARGONARI, C. S.', 'FREITAS, C. R.', 'RIBEIRO, R. C.', 'MOURA, A. C. M.', 'TIMBO, M.', 'GRIPP, A. H.', 'PESSANHA, J.E.', 'DIAS, E.S.']","Epidemiology of visceral leishmaniasis through spatial analysis, in Belo Horizonte municipality, state of Minas Gerais ",Memórias do Instituto Oswaldo Cruz, Rio de Janeiro,"101, n.1",31-38,2006,
836,Edelberto Santos Dias,  15,"['PUGEDO, H.', 'BARATA, R. A.', 'FRANÇA-SILVA, J. C.', 'SILVA, J. C.', 'DIAS, E.S.']",HP: um modelo aprimorado de armadilha luminosa de sucção para a captura de pequenos insetos,Revista da Sociedade Brasileira de Medicina Tropical,Uberaba,"38, n.1",70-72,2005,
837,Edelberto Santos Dias,   8,"['MICHALSKY, E. M.', 'FRANÇA-SILVA, J. C.', 'COSTA, R. T.', 'COSTA, D. C.', 'BARATA, R. A.', 'PAULA, E. V.', 'MACHADO-COELHO, G. L. L.', 'ROCHA, M. F.', 'DIAS, E.S.']","Leishmaniose Visceral:estudo de flebotomíneos e infecção canina em Montes Claros, Minas Gerais, Brasil",Revista da Sociedade Brasileira de Medicina Tropical,Uberaba,"38, n.2",147-152,2005,
838,Edelberto Santos Dias,  21,"['GONTIJO, C. M. F.', 'PACHECO, R. S.', 'DIAS, E.S.', 'COSTA, F. S. O.', 'MICHALSKY, E. M.', 'MARGONARI, C. S.', 'MELO, M. N.']","Epidemiologia Molecular da Leishmaniose Tegumentar no Município de Araçuai, Minas Gerais, Brasil.",Sociedad iberoamericana de Información Científica,"SIIC), Buenos Aires - Argentina, 2005.",,,2005,
839,Edelberto Santos Dias,  37,"['BARATA, R. A.', 'FRANÇA-SILVA, J. C.', 'MAYRINK, W.', 'SILVA, J. C.', 'PRATA, A.', 'LOROSA, E. S.', 'PAULA, K. M. DE', 'DIAS, E.S.']",Aspectos da ecologia de flebotomíneos em área endêmica de leishmaniose visceral,Revista da Sociedade Brasileira de Medicina Tropical, Uberaba,"38, n.5",421-425,2005,
840,Edelberto Santos Dias,  39,"['FRANÇA-SILVA, J. C.', 'BARATA, R. A.', 'COSTA, R. T.', 'MICHALSKY, E. M.', 'MACHADO-COELHO, G. L. L.', 'PRATA, A.', 'MAYRINK, W.', 'NASCIMENTO, E.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']","Importance of Lutzomyia longipalpis in the dynamics of transmission of canine visceral leishmaniasis in the endemic area of Porteirinha Municipality, Minas Gerais, Brazil",Veterinary Parasitology, Irlanda,"131, n.3-4",213-220,2005,
841,Edelberto Santos Dias,   3,"['GONTIJO, C. M. F.', 'SILVA, E. S.', 'PACHECO, R. S.', 'DIAS, E.S.', 'LARA-SILVA, F. O.', 'MICHALSKY, E. M.', 'MARGONARI, C. S.', 'MELO, M. N.']","Molecular Epidemiology of Cutaneous Leishmaniasis in the Municipality of Araçuaí, Minas Gerais State, Brazil",Revista da Sociedade Iberoamericana de Informação Científica (SIIC),,-,---,2005,
842,Edelberto Santos Dias,   1,"['MICHALSKY, E. M.', 'FRANÇA-SILVA, J. C.', 'COSTA, R. T.', 'COSTA, D. C.', 'BARATA, R. A.', 'PAULA, E. V.', 'MACHADO-COELHO, G. L. L.', 'ROCHA, M. F.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']","Visceral leishmaniasis: a study on phlebotomine sand flies and canine infection in Montes Claros, State of Minas Gerais",Revista da Sociedade Brasileira de Medicina Tropical,,"38, n.2",147-152,2005,
843,Edelberto Santos Dias,   1,"['MARGONARI, C. S.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']",Genetic variability in geographical populations of Lutzomyia whitmani elucidated by RAPD-PCR,Journal of Medical Entomology,Estados Unidos,41,187-192,2004,
844,Edelberto Santos Dias,   1,"['MARGONARI, C. S.', 'FORTES-DIAS, C. L.', 'LINARDI, P.M.', 'DIAS, E.S.']",Phenetic Studies on Randomly Amplified Polymorphic DNA-Polymerase Chain Reaction Variability of four Geographical Populations of Lutzomyia whitmani (Diptera:Psychodidae) in Brazil,Revista da Sociedade Brasileira de Medicina Tropical,Uberaba,"37, n.2",148-153,2004,
845,Edelberto Santos Dias,   6,"['BARATA, R. A.', 'FRANÇA-SILVA, J. C.', 'COSTA, R. T.', 'FORTES-DIAS, C. L.', 'SILVA, J. C.', 'PAULA, E. V.', 'PRATA, A.', 'MICHALSKY, E. M.', 'DIAS, E.S.']","Phlebotomine Sand Flies in Porteirinha, an Area of American Visceral Leishmaniasis Transmission in the State of Minas gerais, Brazil",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,"5, n.99",481-487,2004,
846,Edelberto Santos Dias,   1,"['MARGONARI, C. S.', 'PESSANHA, J.E.', 'BARATA, R. A.', 'MICHALSKY, E. M.', 'COSTA, D. C.', 'DIAS, E.S.']","Study on Phlebotomine Sand Fly (Diptera: Psychodidae) Fauna in Belo Horizonte, State of Minas Gerais",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,"99, n.8",795-803,2004,
847,Edelberto Santos Dias,   3,"['MARGONARI, C. S.', 'FORTES-DIAS, C. L.', 'DIAS, E.S.']",Genetic variability of Lutzomyia whitmani (Antunes & Coutinho) (Diptera: Psychodidae:,Journal of Medical Entomology,,41,187-192,2004,
848,Edelberto Santos Dias,   8,"['GONTIJO, C. M. F.', 'SILVA, E. S.', 'de FUCCIO, M. B.', 'SOUZA, M. C. A.', 'PACHECO, R. S.', 'DIAS, E.S.', 'ANDRADE FILHO, J.D.', 'BRAZIL, R.P.', 'MELO, M. N.']","Epidemiological studies of an outbreak of cutaneous leismaniosis in the Rio Jequitinhonha Valley, Minas Gerais, Brazil",Acta Tropica,,"81, n.2",43-50,2002,
849,Edelberto Santos Dias,   5,"['MICHALSKY, E. M.', 'FORTES-DIAS, C. L.', 'PIMENTA, P. F. P.', 'SECUNDINO, N. F. C.', 'DIAS, E.S.']",Assessment of PCR the detection of Leishmania spp in experimentally infected individual phlebotomine sandflies (Diptera: Psychodidae:Phlebotominae),Revista do Instituto de Medicina Tropical de São Paulo,,"44, n.5",255-259,2002,
850,Edelberto Santos Dias,   2,"['GAMA NETO, A. N.', 'LEITE, A. P. N.', 'RABELLO, A.', 'OLIVEIRA, C. L.', 'DIAS, E.S.', 'LOPES, E. G. P.', 'VELOSO, I.', 'FRANÇA-SILVA, J. C.', 'PESSANHA, J.E.', 'ARAUJO, M. C.']",Program for the control of visceral leishmaniasis,"Revista da Sociedade Brasileira de Medicina Tropical, Uberaba",MG,"34, n.5",495,2001,
851,Edelberto Santos Dias,   2,"['DIAS, E.S.', 'BARATA, R. A.', 'FORTES-DIAS, C. L.', 'BRAZIL, R.P.', 'MIRANDA, J. C.', 'BRANDÃO FILHO, S. P.', 'LINARDI, P.M.']","Morphometric and Phenetic Studies of Five Geographical Populations Of Lutzomyia whitmani (Diptera, Psychodidae, Phlebotominae) In Brazil",Journal of Medical Entomology,USA,"36, n.6",846-850,1999,
852,Edelberto Santos Dias,   3,"['ANDRADE FILHO, J.D.', 'AGUIAR, G.M.', 'DIAS, E.S.', 'FALCÃO, A. L.']",Description of Lutzomyia bianchigalatiae n.sp. A sand fly within the subgenus Pintomyia Costa Lima 1932 (Diptera; Psychodidae),Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,"94, n.6",757-762,1999,
853,Edelberto Santos Dias,  10,"['DIAS, E.S.', 'FORTES-DIAS, C. L.', 'STITELER, J.M.', 'PERKINS, P.V.', 'LAWYER, P.G.']",Random Amplified Polymorphic DNA (RAPD) Analysis of the Lutzomyia longipalpis Laboratory Populations,Revista do Instituto de Medicina Tropical de São Paulo,SÃO PAULO,"40, n.1",49-53,1998,
854,Edelberto Santos Dias,   6,"['DIAS, E. S.', 'DIAS, E.S.', 'SILVA, J. E.', 'FALCÃO, A. L.']",Notes on the Sand Fly Fauna (Diptera: Psychodidae) In The State of Rio Grande do Sul - Brazil,"Memórias do Instituto Oswaldo Cruz, RIO DE JANEIRO",BRASIL,"92, n.3",329-332,1997,
855,Edelberto Santos Dias,   7,"['DIAS, E.S.', 'ANDRADE FILHO, J.D.', 'FALCÃO, A. L.']","Redescription of Lutzomyia souzalopesi Martins, Silva & Falcão, 1970 (Diptera, Psychodidae, Phlebotominae)","Memórias do Instituto Oswaldo Cruz, RIO DE JANEIRO",BRASIL,"91, n.2",173-176,1996,
856,Edelberto Santos Dias,  11,"['DIAS, E.S.', 'FALCÃO, A. L.', 'SILVA, J. E.']","Taxonomic studies of the subgenus Helcocyrtomyia II. Series vexator (Diptera, Psychodidae, Phlebotominae).",Memórias do Instituto Oswaldo Cruz,RIO DE JANEIRO,"88, n.3",371-377,1993,
857,Edelberto Santos Dias,   2,"['DIAS, E.S.', 'PASSOS, V. M. A.', 'FALCÃO, A. L.', 'MARZOCHI, M.C.A.', 'GONTIJO, C. M. F.', 'BARBOSA SANTOS, E.G.O.', 'GUERRA, H.L.', 'KATZ, N.']","Epidemiological Aspects of American Cutaneous Leishmaniasis In a Periurban Area of the Metropolitan Region of Belo Horizonte, Minas Gerais, Brazil",Memórias do Instituto Oswaldo Cruz,RIO DE JANEIRO,"88, n.1",103-110,1993,
858,Edelberto Santos Dias,  24,"['PASSOS, V. M. A.', 'GONTIJO, C. M. F.', 'DIAS, E.S.', 'KATZ, N.', 'FALCÃO, A. L.']","Cutaneous leishmaniasis in periurbans foci of the Metropolitan Region of Belo Horizonte, Minas Gerais State, Brazil","Proceedings of workshop ""Research and control of Leishmaniasis in Brazil""",Brasil,,83-88,1993,
859,Edelberto Santos Dias,   5,"['DIAS, E.S.', 'FALCÃO, A. L.', 'SILVA, J. E.', 'MARTINS, A.V.']","Taxonomic studies of the subgenus Helcocyrtomyia, Diptera, Psychodidae, Phlebotominae. I. Series oswaldoi.",Memórias do Instituto Oswaldo Cruz,Rio de janeiro,"86, n.3",323-330,1991,True
860,Edelberto Santos Dias,   6,"['DIAS, E.S.', 'FALCÃO, A. L.', 'SILVA, J. E.', 'MARTINS, A.V.']","Redescricao do Macho e Descricao da Femea de Lutzomya (Helcocyrtomyia) f'erreirana (Barreto, Martins & Pellegrino, 1958) (Diptera, Psychodidae, Phlebotominae)",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,84,245-248,1989,
861,Edelberto Santos Dias,  26,"['DIAS, E.S.', 'MARTINS, A.V.', 'SILVA, J. E.', 'FALCÃO, A. L.']","Notas sobre os flebotomíneos do Ceará e Piauí, com a descrição da fêmea de Lutzomyia (Helcocyrtomyia) samueli (Deane, 1955)(Diptera, Psychodidae, Phlebotominae)",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,84,353-356,1989,
862,Edelberto Santos Dias,   5,"['ARREDONDO, C.', 'FALCÃO, A. L.', 'DIAS, E.S.']","Phlebotominae de Venezuela: Description de Hembra de 'Lutzomyia amilcari'(Diptera, Psychodidae, Phledotominae)",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,83,227-228,1988,
863,Edelberto Santos Dias,  17,"['DIAS, E.S.', 'FALCÃO, A. L.', 'SILVA, J. E.', 'MARTINS, A.V.']","Descricao de Uma Nova Especie do Sub-Genero (Helcocyrtomyia) Lutzomyia capixaba sp. N. (Diptera, Psychodidae, Phlebotominae).",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,82,193-196,1987,
864,Edelberto Santos Dias,   3,"['DIAS, E.S.', 'MARTINS, A.V.', 'FALCÃO, A. L.', 'SILVA, J. E.']","Redescricao do Macho e Descricao da Femea de Lutzomyia (Helcocyrtomyia) Peresi (Mangabeira, 1942) (Diptera, Psychodidae, Phlebotominae)",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,81,215-219,1986,
865,Edelberto Santos Dias,   3,"['DIAS, E.S.', 'MARTINS, A.V.', 'FALCÃO, A. L.', 'SILVA, J. E.']","Descrição de uma nova especie do sub-Genero (Helcocyrtomyia) Lutzomyia pusilla sp. N. (Diptera, Psychodidae, Phlebotominae).",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,81,395-399,1986,
866,Edelberto Santos Dias,   8,"['DIAS, E.S.', 'NEVES, D. P.', 'LOPES, H.S.']","Estudos Sobre aFauna de Sarcophagidae (Diptera) de Belo Horizonte, MGg. III- Atratividade das Iscas.",Memórias do Instituto Oswaldo Cruz,Rio de Janeiro,79,413-417,1984,
867,Edelberto Santos Dias,   7,"['MARTINS, A.V.', 'FALCÃO, A. L.', 'SILVA, J. E.', 'DIAS, E.S.']","Nota Sobre Lutzomyia (Lutzomyia) Cruzi Com A Descricao da Femea (Diptera, Psychodidae, Phlebotominae)",Memórias do Instituto Oswaldo Cruz,Rio de janeiro,79,439-442,1984,
868,Edelberto Santos Dias,   5,"['MADEIRA, N. G.', 'DIAS, E.S.', 'MASCARENHAS, C. S.']","Contribuição ao Conhecimento da Fauna de Calliphoridae (Diptera) Sinantropicos da Pampulha, Belo Horizonte, MG",Revista Brasileira de Entomologia,São Paulo,26,137-140,1983,
869,Edward José de Oliveira,  11,"['RAMOS, L. M. S.', 'SILVA-PEREIRA, R. A.', 'OLIVEIRA, E.', 'Fonseca C T', 'GRAEFF-TEIXEIRA, C.']",A review of serological tests available in Brazil for intestinal schistosomiasis diagnosis,Memórias do Instituto Oswaldo Cruz,,118,e220236,2023,
870,Edward José de Oliveira,  37,"['AGUIAR, L. A.', 'OLIVEIRA-SCUSSEL, A. C. M.', 'MENEZES, J. C.', 'IDALO, P. B.', 'FREITAS, L. E. G.', 'ZAGO, L. B. R.', 'OLIVEIRA, C. C. H. B.', 'TAVARES, N. C.', 'OLIVEIRA, E.', 'SILVA, M. V.', 'Teixeira L. A. S.']",Pulmonary hemorrhage in dengue: differential diagnosis with acute viral respiratory syndromes including COVID-19,REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,,64,e13,2022,
871,Edward José de Oliveira,  14,"['FREIRE, M. L.', 'REGO, F. D.', 'LOPES, K. F.', 'COUTINHO, L. A.', 'GRENFELL, R. F. Q.', 'Avelar DM', 'COTA, G.', 'Xavier MAP', 'OLIVEIRA, E.']",Anti-mitochondrial Tryparedoxin Peroxidase Monoclonal Antibody-Based Immunohistochemistry for Diagnosis of Cutaneous Leishmaniasis,Frontiers in Microbiology,,12,790906,2022,
872,Edward José de Oliveira,   8,"['LOPES, KARINE FERREIRA', 'LANNA, THANA', 'Oliveira, Edward']",Characterization of agglutinating antibodies detected by the direct agglutination test for visceral leishmaniasis diagnosis,PARASITOLOGY RESEARCH,,5,256-261,2022,
873,Edward José de Oliveira,   5,"['RIBEIRO, JULIANA M.', 'RODRIGUES-ALVES, MARINA L.', 'Oliveira, Edward', 'GUIMARÃES, PEDRO P.G.', 'MARIA MURTA SANTI, ANA', 'TEIXEIRA-CARVALHO, ANDREA', 'MURTA, SILVANE M.F.', 'PERUHYPE-MAGALHÃES, VANESSA', 'SOUZA-FAGUNDES, ELAINE M.']","Pamidronate, a promising repositioning drug to treat leishmaniasis, displays antileishmanial and immunomodulatory potential",INTERNATIONAL IMMUNOPHARMACOLOGY,,110,108952,2022,
874,Edward José de Oliveira,   7,"['MESQUITA, S. G.', 'CALDEIRA, R. L.', 'FRAVE, T. C.', 'MASSARA, C. L.', 'BECK, L. C. N. H.', 'SIMOES, T. C.', 'CARVALHO, G. B. F.', 'NEVES, F. G. S.', 'OLIVEIRA, G.', 'LACERDA, L. S. B.', 'ALMEIDA, M. A.', 'CARVALHO, O. S.', 'MOURAO, M. M.', 'OLIVEIRA, E.', 'SILVA-PEREIRA, R. A.', 'Fonseca C T']",Assessment of the accuracy of 11 different diagnostic tests for the detection of Schistosomiasis mansoni in individuals from a Brazilian area of low endemicity using latent class analysis,Frontiers in Microbiology,,13,13:1048457,2022,
875,Edward José de Oliveira,  52,"['SIQUEIRA, L. M. V.', 'SENRA, C.', 'Oliveira', 'CARNEIRO, N. F. F.', 'Gomes', 'Rabello A', 'COELHO, P. M. Z.', 'OLIVEIRA, E.']",A Real-Time PCR Assay for the Diagnosis of Intestinal Schistosomiasis and Cure Assessment After the Treatment of Individuals With Low Parasite Burden,Frontiers in Immunology,,11,620417,2021,
876,Edward José de Oliveira,  15,"['FIGUEIREDO, M. M.', 'SANTOS, A. R. R.', 'GODOI, L. C.', 'CASTRO, N. S.', 'ANDRADE, B. C.', 'SERGIO, S. A. R.', 'JERONIMO, S. M. B.', 'OLIVEIRA, E.', 'PORTILLO, R. T. V.', 'BEZERRA, L. M.', 'GOTO, H.', 'SANCHEZ, M. C. A.', 'JUNQUEIRA, C.', 'TEIXEIRA, S. M. R.', 'FONSECA, F. G.', 'GAZZINELLI, R. T.', 'Fernandes A P']",Improved Performance of ELISA and Immunochromatographic Tests Using a New Chimeric A2-Based Protein for Human Visceral Leishmaniasis Diagnosis,JOURNAL OF IMMUNOLOGY RESEARCH,,2021,1-15,2021,
877,Edward José de Oliveira,  31,"['FREIRE, M. L.', 'REGO, F. D.', 'COTA, G.', 'Xavier MAP', 'OLIVEIRA, E.']",Potential antigenic targets used inimmunological tests for diagnosis oftegumentary leishmaniasis: A systematicreview,PLoS One,,16,e025195,2021,
878,Edward José de Oliveira,   7,"['MENDES, ANA LUISA GOMES', 'JOAQUIM, HELOÍSA DI MATTEO', 'ZAMAE, MARA INÊS STEFANINI', 'ASSIS, RAMON MEIRA', 'PEIXOTO, JÉSSICA RENATA DE MOURA', 'DE ARAÚJO, MARGARIDA MARIA GOMES', 'GUEDES, ANTÔNIO CARLOS MARTINS', 'OLIVEIRA, EDWARD JOSÉ', 'MAGALHÃES, VANESSA PERUHYPE', 'PASCOAL-XAVIER, MARCELO ANTÔNIO']",Expression of NLRP3 inflammasome in leprosy indicates immune evasion of Mycobacterium leprae,Memórias do Instituto Oswaldo Cruz,,115,1-7,2020,
